Nt,BT,Time
"Stock Price: 50, Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167, BlackScholes Value: 4.076100608769622",,
2,3.496558695437537,16.21246337890625
3,4.482857028587001,10.967254638671875
4,3.7703975282093176,10.728836059570312
5,4.319146563651113,13.113021850585938
6,3.8691326623275613,15.735626220703125
7,4.249127486822389,20.02716064453125
8,3.919775185675175,24.080276489257812
9,4.210367252698333,26.941299438476562
10,3.950538756255017,32.18650817871094
11,4.185774786570323,37.19329833984375
12,3.971196895776927,41.961669921875
13,4.168788734691807,46.96846008300781
14,3.986022822392582,52.928924560546875
15,4.156355052934412,58.88938903808594
16,3.997179435025515,66.04194641113281
17,4.146860859451391,72.95608520507812
18,4.005878292226084,81.30073547363281
19,4.139374393626922,88.93013000488281
20,4.0128506525346195,96.08268737792969
21,4.133319924423161,105.85784912109375
22,4.018563945664119,113.96408081054688
23,4.1283225769713585,123.9776611328125
24,4.023330879152755,133.99124145507812
25,4.124127789928598,147.10426330566406
26,4.027368548346383,159.0251922607422
27,4.1205566438679355,172.13821411132812
28,4.030832376589765,183.8207244873047
29,4.117479713609072,197.1721649169922
30,4.033836558745783,209.0930938720703
31,4.114801063736701,221.25244140625
32,4.036466879471657,236.74964904785156
33,4.112448076219924,247.955322265625
34,4.038789029759316,260.8299255371094
35,4.110364772974077,274.89662170410156
36,4.04085416401072,286.8175506591797
37,4.108507308513872,298.9768981933594
38,4.0427027097533115,310.8978271484375
39,4.106840852266812,326.1566162109375
40,4.0443670390222985,341.65382385253906
41,4.105337385171548,359.0583801269531
42,4.045873379365185,375.0324249267578
43,4.1039741123572355,390.76805114746094
44,4.047243205520728,410.0799560546875
45,4.102732299901987,427.00767517089844
46,4.0484942692703125,444.8890686035156
47,4.101596409130268,464.9162292480469
48,4.049641372652142,485.1818084716797
49,4.100553443296475,501.87110900878906
50,4.05069695616797,521.1830139160156
51,4.099592448257502,544.3096160888672
52,4.051671551643189,561.2373352050781
53,4.098704126391777,578.6418914794922
54,4.052574134732093,597.0001220703125
55,4.0978805348931235,620.1267242431641
56,4.053412402085415,638.9617919921875
57,4.097114847685094,660.4194641113281
58,4.054192991320862,677.1087646484375
59,4.0964011658328054,676.6319274902344
60,4.054921657105891,718.1167602539062
61,4.095734365312487,733.8523864746094
62,4.055603413241278,758.6479187011719
63,4.09510997381646,784.1587066650391
64,4.05624264816392,811.8152618408203
65,4.094524070338028,841.8560028076172
66,4.056843219496369,865.936279296875
67,4.093973202765789,890.7318115234375
68,4.057408531944992,916.9578552246094
69,4.093454319829257,943.8991546630859
70,4.057941601872272,967.9794311523438
71,4.092964714562733,994.9207305908203
72,4.058445111128773,1021.8620300292969
73,4.092501977075294,1042.8428649902344
74,4.058921452172745,1070.7378387451172
75,4.0920639548878865,1096.2486267089844
76,4.059372766077037,1121.0441589355469
77,4.091648719457906,1142.0249938964844
78,4.059800974701355,1168.966293334961
79,4.09125453779735,1200.9143829345703
80,4.060207808046137,1253.8433074951172
81,4.090879848299646,1286.0298156738281
82,4.06059482761113,1275.3009796142578
83,4.090523240063952,1307.2490692138672
84,4.060963446421257,1332.998275756836
85,4.090183435146977,1360.8932495117188
86,4.061314946264355,1393.7950134277344
87,4.089859273258534,1424.7894287109375
