Stock Price,Analytic,BT,MC
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,
1,2.5400922439594693e-152,0.0,0.0
2,6.495228362274437e-104,0.0,0.0
3,6.231397940824006e-80,0.0,0.0
4,7.452238975339888e-65,0.0,0.0
5,2.8922336692267103e-54,0.0,0.0
6,2.4922397152866448e-46,0.0,0.0
7,4.016883870006661e-40,0.0,0.0
8,4.0710279617824376e-35,0.0,0.0
9,5.490157549549056e-31,0.0,0.0
10,1.6124004674309983e-27,0.0,0.0
11,1.4478074845339544e-24,0.0,0.0
12,5.065441201947364e-22,0.0,0.0
13,8.256275467202737e-20,0.0,0.0
14,7.175115396018516e-18,0.0,0.0
15,3.6896248437677053e-16,0.0,0.0
16,1.2183824344801444e-14,0.0,0.0
17,2.758032450620486e-13,0.0,0.0
18,4.5121449851919515e-12,0.0,0.0
19,5.571020080922426e-11,0.0,0.0
20,5.380458743114348e-10,0.0,0.0
21,4.1884005508319504e-09,0.0,0.0
22,2.6952145667355496e-08,0.0,0.0
23,1.464806107833618e-07,0.0,0.0
24,6.848443680900017e-07,0.0,0.0
25,2.7983894991983966e-06,0.0,0.0
26,1.0131962569865085e-05,0.0,0.0
27,3.2896420317206575e-05,0.0,0.0
28,9.679020653674109e-05,0.0,1.7498723774648507e-06
29,0.0002604692144117211,0.0,4.5769470091661935e-05
30,0.000646361577000838,0.0,0.00035748319231066703
31,0.0014898583891776842,0.0,0.0008453139644751526
32,0.003210558887466848,0.0,0.0021358577683736495
33,0.006505854062924212,0.0,0.004639335041338404
34,0.012461854883258587,0.0015816344937656058,0.0075555239252558136
35,0.02267044447486127,0.006485935669241671,0.021738112293592318
36,0.03933562154693897,0.01683749902940801,0.028354093112935016
37,0.06534905632695195,0.03577896095875233,0.05708416359314015
38,0.10431525772485367,0.06711303135717342,0.0975006434182676
39,0.16051142371745422,0.11785240410698415,0.13466021408647594
40,0.23877529587296628,0.1921227394504081,0.24408229739211726
41,0.3443245998392296,0.2939056853066789,0.33424006110162907
42,0.4825218566642775,0.43097608474121796,0.4355878141108293
43,0.6586064788627273,0.6077384135646962,0.6085331095398091
44,0.8774206530894625,0.8268248680951648,0.859556168663741
45,1.1431559333468742,1.0967560264995566,1.0658247256021367
46,1.459143982673047,1.413984273723959,1.3838746521418055
47,1.8277084690498984,1.7867807797019397,1.7759590861236618
48,2.250087099667406,2.2106403265543273,2.2206010536084797
49,2.7264245827850178,2.6873822302107517,2.6531469492779123
50,3.255830136088643,3.218622105236442,3.160003514713292
51,3.8364878234004283,3.7969691185599306,3.7425969896315414
52,4.465804863140858,4.424033339558956,4.376254712505818
53,5.14058207620873,5.097839518737714,5.079808292646379
54,5.85719149460325,5.81092263593987,5.806259889229608
55,6.611748331675857,6.56033251087145,6.553295802022566
56,7.400267466916307,7.345864498764763,7.402562518419861
57,8.218797812798602,8.162221641074195,8.086841050122965
58,9.06353100116227,9.004618090021658,8.980557336006251
59,9.930883472658905,9.869806199848,9.849339881588392
60,10.817553122542952,10.75471748696202,10.675498185464242
61,11.720553105029095,11.656884354237494,11.773021503344518
62,12.637226262292915,12.573315717262828,12.609957223113343
63,13.56524400952583,13.50227887661117,13.447322687346336
64,14.502593485485919,14.44094929283393,14.396887903770473
65,15.447556484096726,15.387505077202988,15.304361853005378
66,16.398683222382857,16.340837101321384,16.455096265553937
67,17.354763461118274,17.299333241502683,17.431184438632112
68,18.314796943770048,18.26164753751715,18.360157197486902
69,19.27796460281159,19.227026220588417,19.3672492428859
70,20.243601528311626,20.194773554894347,20.30984810127721
71,21.21117231537737,21.16423368785021,21.253731382703737
72,22.1802491072815,22.134848119195112,22.29491443074622
73,23.150492425429068,23.10659385708693,23.110643414234538
74,24.12163471693125,24.078924260049565,24.020425985680397
75,25.09346644465702,25.05178306141458,25.033106797987656
76,26.065824482070383,26.025144687939694,25.847970621245068
77,27.038582545460553,26.998624394239094,27.14745954991867
78,28.0116433901578,27.972104100538473,28.059304011471045
79,28.98493250737489,28.94558380683785,29.018983828420637
80,29.958393078377405,29.919063513137218,30.13169772258695
81,30.931981968187554,30.892543219436632,30.99346690787965
82,31.90566656864884,31.86602292573604,32.007048555283326
83,32.87942232815439,32.839502632035405,32.673264640717356
84,33.85323083121964,33.81298233833479,33.777153999756266
85,34.82707831452697,34.78646204463419,34.76156242194554
86,35.80095452670141,35.759941750933564,36.01193471015086
87,36.77485185681185,36.733421457232964,36.834533161114955
88,37.74876467154926,37.70690116353233,37.6885678321381
89,38.72268881344519,38.68038086983172,38.6549853547043
90,39.69662122265229,39.65386057613113,39.641298567515
91,40.67055965302256,40.627340282430495,40.535497032959825
92,41.64450245979068,41.60081998872993,41.59939566328621
93,42.61844844137667,42.57429969502931,42.35126583869061
94,43.592396721913865,43.54777940132869,43.35933673428873
95,44.5663466642979,44.521259107628055,44.33962623426489
96,45.54029780602127,45.49473881392745,45.515476736800274
97,46.51424981195773,46.46821852022684,46.41249465234446
98,47.48820243971238,47.44169822652625,47.37854407517194
99,48.462155514258086,48.4151779328256,48.265563546516546
