Stock Price,Analytic,BT,MC
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,
1,46.97986158251714,46.979847410319074,46.977879375006104
2,46.00041017422045,46.000381829824306,46.001333173430886
3,45.020958765923744,45.02091624932957,45.02300789215088
4,44.041507357627054,44.041450668834806,44.04303837378256
5,43.06205594933036,43.06198508834005,43.056019850151856
6,42.08260454103367,42.082519507845305,42.09853228181334
7,41.10315313273697,41.10305392735056,41.12419575891412
8,40.12370172444028,40.1235883468558,40.13076247577721
9,39.144250316143584,39.14412276636105,39.15201304370004
10,38.16479890784689,38.1646571858663,38.16674054199433
11,37.18534749955019,37.18519160537154,37.20053659466427
12,36.20589609125349,36.2057260248768,36.1834556957642
13,35.2264446829568,35.226260444382035,35.238356367040495
14,34.246993274660106,34.24679486388729,34.25058530722604
15,33.26754186636341,33.267329283392534,33.25604873637162
16,32.28809045806674,32.28786370289778,32.27111909997202
17,31.30863904977058,31.30839812240302,31.30400841750866
18,30.32918764148194,30.328932541908276,30.35784305105436
19,29.349736233277735,29.349466961413523,29.36264834575729
20,28.37028482581237,28.37000138091877,28.38718326669135
21,27.390833423542304,27.39053580042402,27.39177389680019
22,26.411382051374385,26.411070219929268,26.428278880451252
23,25.431930826029742,25.431604639434514,25.493288687407265
24,24.4524802147093,24.452139058939764,24.4443415366649
25,23.473031840378532,23.472673478445007,23.44259413085036
26,22.493590664184616,22.493207897950256,22.55187706052369
27,21.514170193361984,21.513742317455502,21.557200800731856
28,20.534803529546814,20.534276736960756,20.535364442921015
29,19.555564370585394,19.554811156466,19.571516307904872
30,18.576603002609048,18.575345575971244,18.50923460227031
31,17.59820214380804,17.595879995476494,17.596099541070384
32,16.620855533740578,16.616414414981744,16.610558613706072
33,15.645368101980168,15.638599987919314,15.627206007760428
34,14.672970798625393,14.663150423216617,14.645226523596078
35,13.70543690248117,13.692277212725335,13.694666700655127
36,12.745181538168147,12.727860519420771,12.70733439340468
37,11.79532393446165,11.773795616074842,11.753691619950784
38,10.85969376785576,10.835531956481093,10.82470629763898
39,9.942768884860477,9.916730640463431,9.946138963061511
40,9.049540820762866,9.021815662321297,9.074684916658033
41,8.185315037696387,8.156836282176377,8.078340835552073
42,7.35546256846402,7.326505840929146,7.348946187867038
43,6.565146884974869,6.537640680617174,6.546395827869023
44,5.819053095938015,5.791867401360453,5.662341891386174
45,5.121145687640671,5.094718234251693,5.053028746253741
46,4.474476469726133,4.446378307140844,4.408943811202398
47,3.8810573021477266,3.85239085990602,3.7949334705522673
48,3.34180396973256,3.3088199645479537,3.2596158733048206
49,2.856549605477177,2.821405373631679,2.825048475903722
50,2.424119424407643,2.384150428323191,2.2715751458145603
51,2.0424538805731958,1.9954095195093309,1.960630379823674
52,1.7087649271633338,1.6579870323715833,1.6373827794617077
53,1.4197097004061372,1.3632563550809933,1.3136426528992777
54,1.1715672623836577,1.1088067977853409,1.1040274167756357
55,0.9604064984593597,0.8938146610316307,0.845081027026509
56,0.7822363272985041,0.7135010427700584,0.6931684409385882
57,0.6331325672099906,0.562416481547766,0.5713182073847914
58,0.509338746125024,0.43780913360565393,0.4188803085369338
59,0.4073406074973367,0.33617334820409756,0.3274257478129086
60,0.32391593515844963,0.2549500728504537,0.25187649003139523
61,0.2561625800467297,0.19052698398390855,0.19296126222919296
62,0.201508274075283,0.13993213860910414,0.1616848639572594
63,0.15770605661381387,0.10067800632455251,0.12077264519226584
64,0.12281902983071169,0.07107002711143914,0.09070386608910544
65,0.09519781277938966,0.04903275691314123,0.0611169000634619
66,0.0734535799028671,0.032932860208558755,0.03992498084271735
67,0.05642902848944886,0.021286456215170047,0.03051144149177009
68,0.04316908117157038,0.013195184216652545,0.01926207442659014
69,0.0328926341027753,0.007694501730988969,0.021929499183483702
70,0.024966232163042813,0.004016205132488856,0.019543932819301776
71,0.018880199497623,0.0017623363414101749,0.009893152358868363
72,0.014227477353448951,0.0004497265845215619,0.005985012087059532
73,0.010685215739153243,0.0,0.006045019227785286
74,0.007999021595005054,0.0,0.0028683824932167284
75,0.005969673116359086,0.0,0.0017120258401743117
76,0.004442056777619997,0.0,0.002437479202640935
77,0.003296060484797548,0.0,0.0007292869340261271
78,0.0024391545063812306,0.0,0.0017073526801719835
79,0.0018004043151418373,0.0,0.00025009772075840805
80,0.0013256806478087618,0.0,0.0008720207224643477
81,0.0009738577846123693,0.0,0.00021797637728107976
82,0.0007138182720849858,0.0,0.0
83,0.0005221090373030166,0.0,0.00016547803870575265
84,0.00038111879716045045,0.0,0.00018730953249218013
85,0.0002776691440376645,0.0,0.0
86,0.00020193138188380962,0.0,0.0
87,0.00014659806198438064,0.0,0.0
88,0.00010625236585152702,0.0,0.0
89,7.689024519930267e-05,0.0,0.0
90,5.555984421672291e-05,0.0,0.0
91,4.00904982674844e-05,0.0,0.0
92,2.888981566673715e-05,0.0,0.0
93,2.0792271549388766e-05,0.0,0.0
94,1.4946610652420137e-05,0.0,0.0
95,1.0732372272841702e-05,0.0,0.0
96,7.698187005703906e-06,0.0,0.0
97,5.516293144440203e-06,0.0,0.0
98,3.949096772365396e-06,0.0,0.0
99,2.8246471035542784e-06,0.0,0.0
