Stock Price,Analytic,BT,MC,FD
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,,
54,2.7559361543746483,2.9785565204560354,2.8211997027214344,2.7702300002655353
55,2.489639164161934,2.7019023238641955,2.6809335900137663,2.508205374436578
56,2.245942437100261,2.425795279755372,2.333091103759046,2.246180748607621
57,2.023393560764534,2.1538293820758607,2.1615726177133503,2.0304677789429535
58,1.820563024347317,1.8824033909037146,1.8639829330043558,1.8147548092782857
59,1.6360562708519844,1.6236515809591254,1.6668059720414339,1.6383591602334264
60,1.468523514851558,1.477167830781272,1.5557637751420204,1.4619635111885672
61,1.3166674910478147,1.3584867295799508,1.3551555692433446,1.3185368977398424
62,1.1792493210031356,1.2461283931395157,1.1680973215418162,1.1751102842911174
63,1.055092697207055,1.1372894192776346,1.1174011812366056,1.0590393940376912
64,0.9430865870263432,1.0296049186247183,1.0006906388435572,0.9429685037842648
65,0.8421866558757864,0.9219204179718021,0.8447447350931426,0.8493949848183917
66,0.7514156007551565,0.8142359173188861,0.7615856876867719,0.7558214658525186
67,0.6698625735347639,0.7072758481377398,0.7129813387236773,0.6806134629349476
68,0.5966818592347165,0.6003703201160773,0.6149326984436474,0.6054054600173765
69,0.5310909590165052,0.49346479209441396,0.5410676581330651,0.5450990542067817
70,0.4723682114855423,0.42602050802061736,0.4821653630768749,0.48479264839618685
71,0.4198500698079082,0.3917069985751203,0.4618559324104349,0.4365177455126099
72,0.37292813653964707,0.36181640439329465,0.3858043102547411,0.38824284262903297
73,0.3310460432885107,0.3320398961088083,0.3697189722577199,0.34964398793688234
74,0.2936962486015968,0.30272394281169895,0.30376369820650145,0.31104513324473165
75,0.2604168149356467,0.27359557755021396,0.2755587211507233,0.28020414684136863
76,0.23078821428594676,0.2444672122887289,0.2544576506775066,0.24936316043800555
77,0.20443020203715645,0.21533884702724373,0.19407981311089614,0.22472766977698763
78,0.1809987898254899,0.18621048176575883,0.1979677460947878,0.20009217911596971
79,0.16018334060832995,0.15708211650427384,0.1681329283180378,0.18041208585580593
80,0.14170380264617388,0.12795375124278868,0.14877204255622017,0.16073199259564216
81,0.12530809362224238,0.09882538598130369,0.1411567777063791,0.14500453974212196
82,0.11076964156027613,0.0772864330699284,0.1011633275468459,0.12927708688860176
83,0.09788508545262586,0.07066272257204079,0.10638172034940714,0.11670033901222557
84,0.08647213548216104,0.06546531454364919,0.08500792505366864,0.10412359113584939
85,0.0763675903201626,0.06060483914568563,0.08068939006960218,0.0940576607641117
86,0.06742550712191331,0.0557443637477221,0.07332539259467878,0.08399173039237402
87,0.05951551844240199,0.05088388834975855,0.0817308616808965,0.07592685714996952
88,0.05252128928421751,0.04602341295179497,0.057899540917530544,0.06786198390756501
89,0.046339106803694574,0.041162937553831415,0.04994180137577475,0.06139250781458647
90,0.040876594782493,0.036302462155867896,0.048649816963832526,0.054923031721607916
91,0.036051544769915844,0.03144198675790436,0.04262764627098021,0.04972633255189731
92,0.03179085577313023,0.026581511359940822,0.03794391577371452,0.044529633382186705
93,0.02802957448067639,0.02172103596197729,0.03767426676983425,0.04034918951670785
94,0.02471002821777063,0.016860560564013756,0.03853488105308963,0.03616874565122899
95,0.021781043123155597,0.012000085166050209,0.02107074954252383,0.032800569639606786
96,0.01919724038458001,0.007139609768086675,0.02093234704522784,0.029432393627984586
97,0.01691840375504275,0.006022763081059971,0.015130128909280591,0.02671421012877803
98,0.01490891197988814,0.005649412523900428,0.017864434283715234,0.02399602662957147
99,0.013137230183702941,0.0052760619667408925,0.019299036541875383,0.021798661584623222
