Stock Price,Analytic,BT,MC,FD
,"Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167",,,
1,5.064968015466013e-52,0.0,0.0,1.2493427362138181e-12
2,8.589939675980543e-36,0.0,0.0,2.4986854724276363e-12
3,9.865525282068835e-28,0.0,0.0,1.424226463880424e-10
4,1.184921917085493e-22,0.0,0.0,2.8234660730365715e-10
5,4.463816325228543e-19,0.0,0.0,5.076776846138686e-09
6,2.1694684421356196e-16,0.0,0.0,9.871207084973714e-09
7,2.7766845086986794e-14,0.0,0.0,8.971289632259112e-08
8,1.4047967274270824e-12,0.0,0.0,1.6955458556020852e-07
9,3.611679435417829e-11,0.0,0.0,9.70083335291053e-07
10,5.565899250756043e-10,0.0,0.0,1.7706120850218974e-06
11,5.761100802680515e-09,0.0,0.0,7.259081111583152e-06
12,4.344628780452869e-08,0.0,0.0,1.2747550138144405e-05
13,2.5346448837604803e-07,0.0,0.0,4.075492163324471e-05
14,1.1969546336282441e-06,0.0,0.0,6.876229312834502e-05
15,4.738316007777611e-06,0.0,0.0,0.00018171428752843024
16,1.6161988118179344e-05,0.0,0.0,0.0002946662819285155
17,4.855361953679069e-05,0.0,0.0,0.0006708720156610151
18,0.00013077337049313947,0.0,0.0,0.001047077749393515
19,0.0003204114587124782,0.0,0.00027997934209366944,0.0021167062069137486
20,0.0007228050874655747,0.0,0.0,0.003186334664433982
21,0.0015164711150147323,0.0,0.002043295710801118,0.005849072917632987
22,0.002984259107887001,0.0,0.0027725824777565084,0.008511811170831994
23,0.005548354327832822,0.002117219953477242,0.0036507123641155072,0.01443147613921543
24,0.00980621098168262,0.00446485342296146,0.010424806969884546,0.020351141107598867
25,0.016563802731494992,0.006812486892445687,0.01443681500089723,0.03228932112388596
26,0.02686238913846395,0.009160120361929916,0.03294732816767328,0.044227501140173056
27,0.04199535196593396,0.03068400712687508,0.04078095010494261,0.06634412997045402
28,0.06351248541661392,0.052565090075364085,0.05626031583645261,0.088460758800735
29,0.09321028186992553,0.07444617302385309,0.11598470411970062,0.1264887785319198
30,0.13310805358674038,0.09632725597234203,0.1250259290314792,0.16451679826310459
31,0.1854109869781424,0.1449879600727255,0.19333118972435095,0.2257229819222955
32,0.2524622879300531,0.24000654258357026,0.2399461640350334,0.2869291655814864
33,0.3366873434270774,0.33502512509441507,0.3487167870351685,0.3798079505477888
34,0.44053325079552286,0.4300437076052599,0.4368761203843352,0.4726867355140913
35,0.5664071557394017,0.5250622901161047,0.5380424692276796,0.6063918687956421
36,0.7166166366919215,0.6200808726269496,0.725496782787019,0.740097002077193
37,0.8933149425881952,0.8663109919786594,0.9680388578848992,0.9236808451946412
38,1.0984533109754926,1.1236067693801108,1.1213201191039126,1.1072646883120894
39,1.3337419392786174,1.3809025467815628,1.3561657950021409,1.3488471518114205
40,1.6006205206644868,1.6381983241830138,1.5884030022468718,1.5904296153107513
41,1.9002386399844138,1.8954941015844655,1.8483702938384055,1.8964411342258534
42,2.2334457916568606,2.152789878985917,2.2114680625522904,2.202452653140955
43,2.6007903517523943,2.5361297055939542,2.6272371181981686,2.5770810309541066
44,3.002526519284478,3.0297148570006973,2.9219329834283503,2.9517094087672584
45,3.438628034528513,3.5233000084074417,3.390521488231767,3.39663347870799
46,3.9088073752023824,4.016885159814184,3.856139697730266,3.8415575486487215
47,4.412539109874562,4.510470311220928,4.297972962288272,4.355986366274058
48,4.949086134997323,5.004055462627674,4.981141188867712,4.870415183899395
49,5.517527620050128,5.497640614034417,5.55189300311194,5.4513893853295325
50,6.116787617955783,5.99122576544116,6.1802733208505956,6.032363586759669
51,6.7456634506240505,6.720735984856346,6.653295025848975,6.675232576926874
52,7.402853139989773,7.450246204271533,7.503602871400459,7.318101567094079
53,8.08698131360521,8.179756423686722,8.082231550187759,8.017075012379568
54,8.796623163560813,8.909266643101912,8.892685104984754,8.716048457665057
55,9.530326173348097,9.638776862517094,9.517003421422832,9.464731519435059
56,10.286629446286426,10.368287081932287,10.327103986694889,10.21341458120506
57,11.064080569950704,11.097797301347471,10.995420789286738,11.005263866518774
58,11.86125003353348,11.827307520762657,11.983635685460738,11.797113151832491
59,12.676743280038153,12.578110364640148,12.637279071889767,12.625782255189355
60,13.509210524037726,13.471204836618481,13.641497735692194,13.454451358546219
61,14.357354500233988,14.364299308596818,14.471140697325279,14.31402160791182
62,15.219936330189306,15.257393780575152,15.496950694862427,15.173591857277422
63,16.095779706393223,16.150488252553487,15.890059377058927,16.05870124698883
64,16.983773596212508,17.04358272453183,16.79321652153423,16.943810636700235
65,17.88287366506195,17.936677196510164,17.901642391846206,17.84970214774191
66,18.792102609941324,18.8297716684885,18.93528488198899,18.75559365878359
67,19.71054958272093,19.722866140466834,19.753723537802934,19.678105658531393
68,20.63736886842088,20.61596061244517,20.891765408388267,20.600617658279194
69,21.571777968202674,21.509055084423515,21.448789482445775,21.536136640379148
70,22.51305522067171,22.455570484738725,22.59846222673778,22.471655622479098
71,23.460537078994072,23.426442119477233,23.38502630420259,23.417047438855626
72,24.41361514572582,24.397313754215748,24.531704742128056,24.36243925523215
73,25.371733052474674,25.368185388954263,25.1676080736987,25.31497065228387
74,26.33438325778777,26.33905702369278,26.515530961051695,26.267502049335583
75,27.30110382412181,27.309928658431293,26.98516184675725,27.224760505674507
76,28.27147522347211,28.28080029316982,27.87924838208885,28.18201896201343
77,29.245117211223317,29.251671927908333,28.993860420373874,29.1418358195575
78,30.221685799011652,30.222543562646845,30.552602039112703,30.101652677101573
