Ns,FD,Time
"Stock Price: 50, Strike Price: 50, Interest Rate: 0.1, Volatility: 0.4, Period: 0.4167, BlackScholes Value: 4.076100608769622",,
10,5.786720055911825,473.0224609375
11,4.94440833257735,307.7983856201172
12,2.8694756620041533,293.731689453125
13,4.4491997083919035,290.15541076660156
14,4.932092786755318,279.6649932861328
15,4.5375210906992685,277.9960632324219
16,3.4300092654274006,276.80397033691406
17,4.310216230735417,272.2740173339844
18,4.592089982256772,275.1350402832031
19,4.370104185326198,274.1813659667969
20,3.7198377722114864,271.08192443847656
21,4.260408976416388,271.79718017578125
22,4.433859880380814,273.9429473876953
23,4.28807574065787,272.98927307128906
24,3.862960937708477,272.7508544921875
25,4.229947161169408,272.98927307128906
26,4.34730699657317,274.89662170410156
27,4.242776709259454,272.98927307128906
28,3.940130240947984,276.0887145996094
29,4.20787810537785,652.0748138427734
30,4.29368945863596,293.97010803222656
31,4.2151710598679735,277.9960632324219
32,3.9877288233263353,276.0887145996094
33,4.1922562061789135,275.1350402832031
34,4.258020895023458,277.0423889160156
35,4.1969168350606605,275.1350402832031
36,4.019516422024465,278.23448181152344
37,4.181044215839062,272.2740173339844
38,4.2328191075248895,272.7508544921875
39,4.183283628014927,276.0887145996094
40,4.040036055148856,272.0355987548828
41,4.172416524133521,276.80397033691406
42,4.2089640825551555,278.9497375488281
43,4.156364747429787,272.98927307128906
44,4.020696716044711,278.9497375488281
45,4.163100934188198,272.98927307128906
46,4.125809320451822,273.9429473876953
47,3.920291821551321,277.0423889160156
48,3.5570625553094484,274.89662170410156
49,4.133954883250263,275.8502960205078
50,3.5024607186715206,273.2276916503906
51,1.7336616199567185,272.7508544921875
52,-1.106828666693961,272.98927307128906
53,3.8985583531664942,272.98927307128906
54,-0.6792720647615589,273.9429473876953
55,-14.317598969325974,271.3203430175781
56,-36.531038620171266,263.214111328125
57,1.7203477724723086,267.98248291015625
58,-23.70827888720747,270.1282501220703
59,-109.57895183383754,263.214111328125
60,-252.86956875307098,264.16778564453125
61,-15.045885944471738,282.04917907714844
62,-130.67302867462757,269.6514129638672
63,-582.9200052512183,266.07513427734375
64,-1356.0077609626824,265.1214599609375
65,-118.66093610902902,268.2209014892578
66,-562.4098450994261,272.98927307128906
67,-2611.981544627412,266.07513427734375
68,-6196.530911581082,263.9293670654297
69,-647.2672176669076,267.02880859375
70,-2113.7171359240856,271.3203430175781
71,-10299.442063021455,266.07513427734375
72,-24924.47220692387,263.9293670654297
73,-2948.5571238914113,270.1282501220703
74,-7170.445683494108,264.88304138183594
75,-36542.225740026224,266.3135528564453
76,-90071.13841860919,267.98248291015625
77,-11739.684373992955,266.07513427734375
78,-22345.81696029497,267.02880859375
79,-118512.15947001227,275.1350402832031
80,-297030.2040310162,265.8367156982422
81,-41860.89695722574,265.8367156982422
82,-64765.10455721381,267.98248291015625
83,-355691.9769030103,264.88304138183594
84,-905069.2759679873,267.02880859375
85,-136023.29723974198,265.8367156982422
86,-176242.01093443116,266.07513427734375
87,-997819.7380030022,271.79718017578125
88,-2574119.2393531157,268.9361572265625
89,-408225.29529314407,275.8502960205078
90,-453753.0902632943,266.79039001464844
91,-2637798.6108889813,267.02880859375
92,-6890627.583507608,268.9361572265625
93,-1143675.729929399,267.98248291015625
94,-1112228.3741409155,267.98248291015625
95,-6615795.900422405,266.07513427734375
96,-17481409.093709134,265.8367156982422
97,-3016968.267286641,264.88304138183594
98,-2609145.793263045,273.2276916503906
99,-15831983.53974757,268.9361572265625
100,-42276561.70012465,269.17457580566406
101,-7547045.608694529,269.17457580566406
102,-5883565.253078243,271.79718017578125
103,-36323032.21378581,267.98248291015625
104,-97939399.93361582,267.98248291015625
105,-18008281.811191358,267.02880859375
106,-12800988.766984466,272.2740173339844
107,-80222460.28478244,272.0355987548828
108,-218255230.68230808,269.88983154296875
109,-41190447.90965244,267.98248291015625
110,-26958779.007239446,272.98927307128906
111,-171159329.0055988,269.17457580566406
112,-469548377.75561213,271.3203430175781
113,-90690678.70888194,273.9429473876953
114,-55108208.1530913,266.07513427734375
115,-353845960.1276065,270.1282501220703
116,-978257721.9807761,271.79718017578125
117,-192894786.09895134,270.1282501220703
118,-109608162.07119721,270.843505859375
119,-710698447.0776478,268.2209014892578
120,-1979056218.392432,270.1282501220703
121,-397562720.3402451,270.1282501220703
122,-212570373.543374,270.1282501220703
123,-1390018174.3126721,268.9361572265625
124,-3896943861.013505,273.9429473876953
125,-796118541.1357428,271.08192443847656
126,-402726983.460256,270.1282501220703
127,-2652814059.7459803,277.0423889160156
128,-7484423239.509636,274.89662170410156
129,-1552566850.724598,277.0423889160156
130,-746604558.694766,272.98927307128906
131,-4949149475.708372,273.2276916503906
132,-14046371892.468943,274.1813659667969
133,-2954709366.6735764,277.9960632324219
134,-1356402422.2462227,277.9960632324219
135,-9040487601.823223,284.9102020263672
136,-25802206255.60999,287.05596923828125
137,-5497427645.703435,283.95652770996094
138,-2418154030.4970465,366.2109375
139,-16192611920.896976,330.92498779296875
